city,county,state,fips_county,date
newbury park,Ventura,CA,06111,2018-05-01
baraboo,Sauk,WI,55111,2018-05-01
tenafly,Bergen,NJ,34003,2018-06-01
westport,Fairfield,CT,09001,2018-06-01
armonk,Westchester,NY,36119,2018-06-01
springfield,Hampden,MA,25013,2018-06-01
clifton park,Saratoga,NY,36091,2018-06-01
minneapolis,Hennepin,MN,27053,2018-06-01
virginia beach,Virginia Beach city,VA,51810,2018-06-01
alameda,Alameda,CA,06001,2018-06-01
acton,Middlesex,MA,25017,2018-06-01
coeur d'alene,Kootenai,ID,16055,2018-06-01
calabasas,Los Angeles,CA,06037,2018-06-03
south orange village,Essex,NJ,34013,2018-07-01
walnut creek,Contra Costa,CA,06013,2018-07-01
minneapolis,Hennepin,MN,27053,2018-07-01
norridge,Cook,IL,17031,2018-07-01
morristown,Lamoille,VT,50015,2018-08-01
floyds knobs,Floyd,IN,18043,2018-08-01
san clemente,Orange,CA,06059,2018-08-01
stowe,Lamoille,VT,50015,2018-08-01
bullhead city,Mohave,AZ,04015,2018-09-01
sunapee,Sullivan,NH,33019,2018-09-01
antioch,Lake,IL,17097,2018-09-01
sutherland,Lincoln,NE,31111,2018-09-01
milwaukee,Milwaukee,WI,55079,2018-09-01
burnsville,Dakota,MN,27037,2018-09-01
new albany,Franklin,OH,39049,2018-09-01
miami beach,Miami-Dade,FL,12086,2018-09-01
watertown,Middlesex,MA,25017,2018-09-01
new york,New York,NY,36061,2018-09-01
indianapolis,Marion,IN,18097,2018-09-01
miami,Miami-Dade,FL,12086,2018-09-01
hillsdale,Bergen,NJ,34003,2018-09-01
new brunswick,Middlesex,NJ,34023,2018-09-01
teaneck,Bergen,NJ,34003,2018-10-01
stoughton,Norfolk,MA,25021,2018-10-01
glendale,Maricopa,AZ,04013,2018-10-01
bluffdale,Salt Lake,UT,49035,2018-10-01
seattle,King,WA,53033,2018-10-01
san antonio,Bexar,TX,48029,2018-10-01
yorba linda,Orange,CA,06059,2018-10-01
cherry hill,Camden,NJ,34007,2018-10-01
fort collins,Larimer,CO,08069,2018-10-01
scotch plains,Union,NJ,34039,2018-10-01
monticello,Sullivan,NY,36105,2018-10-01
charlotte,Mecklenburg,NC,37119,2018-10-01
newburyport,Essex,MA,25009,2018-10-01
poway,San Diego,CA,06073,2018-10-01
reading,Middlesex,MA,25017,2018-10-01
aventura,Miami-Dade,FL,12086,2018-10-01
stowe,Lamoille,VT,50015,2018-10-01
haddonfield,Camden,NJ,34007,2018-10-01
calabasas,Los Angeles,CA,06037,2018-10-01
mountain brook,Jefferson,AL,01073,2018-10-01
andover,Essex,MA,25009,2018-10-01
levittown,Bucks,PA,42017,2018-10-01
hillsdale,Bergen,NJ,34003,2018-10-01
westfield,Union,NJ,34039,2018-10-01
potomac,Montgomery,MD,24031,2018-10-01
washington,District of Columbia,DC,11001,2018-10-01
davis,Yolo,CA,06113,2018-10-01
portland,Multnomah,OR,41051,2018-10-01
ypsilanti,Washtenaw,MI,26161,2018-10-01
berkeley,Alameda,CA,06001,2018-10-08
stanhope,Sussex,NJ,34037,2018-11-01
north arlington,Bergen,NJ,34003,2018-11-01
woodcliff lake,Bergen,NJ,34003,2018-11-01
sharon,Norfolk,MA,25021,2018-11-01
fort collins,Larimer,CO,08069,2018-11-01
west hartford,Hartford,CT,09003,2018-11-01
cherry hills village,Arapahoe,CO,08005,2018-11-01
trumbull,Fairfield,CT,09001,2018-11-01
philadelphia,Philadelphia,PA,42101,2018-11-01
monticello,Sullivan,NY,36105,2018-11-01
milwaukee,Milwaukee,WI,55079,2018-11-01
charlotte,Mecklenburg,NC,37119,2018-11-01
snohomish,Snohomish,WA,53061,2018-11-01
lincoln,Lancaster,NE,31109,2018-11-01
oak park,Cook,IL,17031,2018-11-01
el cerrito,Contra Costa,CA,06013,2018-11-01
allentown,Lehigh,PA,42077,2018-11-01
tallahassee,Leon,FL,12073,2018-11-01
new orleans,Orleans Parish,LA,22071,2018-11-01
fairfield,Solano,CA,06095,2018-11-01
boston,Suffolk,MA,25025,2018-11-01
millcreek,Salt Lake,UT,49035,2018-11-01
bloomfield hills,Oakland,MI,26125,2018-11-01
san diego,San Diego,CA,06073,2018-11-01
chicago,Cook,IL,17031,2018-11-01
apalachin,Tioga,NY,36107,2018-11-01
malden,Middlesex,MA,25017,2018-11-01
melrose,Middlesex,MA,25017,2018-11-01
reading,Middlesex,MA,25017,2018-11-01
darien,Fairfield,CT,09001,2018-11-01
new rochelle,Westchester,NY,36119,2018-11-01
woodbridge,New Haven,CT,09009,2018-11-01
hillsdale,Bergen,NJ,34003,2018-11-01
rye,Westchester,NY,36119,2018-11-01
binghamton,Broome,NY,36007,2018-11-01
summit,Union,NJ,34039,2018-11-01
livingston,Essex,NJ,34013,2018-11-01
aurora,Adams,CO,08001,2018-11-01
tampa,Hillsborough,FL,12057,2018-11-01
cumberland,Cumberland,ME,23005,2018-11-01
boxford,Essex,MA,25009,2018-11-01
river forest,Cook,IL,17031,2018-11-01
kentfield,Marin,CA,06041,2018-11-01
needham,Norfolk,MA,25021,2018-11-01
portland,Multnomah,OR,41051,2018-11-01
el cajon,San Diego,CA,06073,2018-11-01
new york,New York,NY,36061,2018-11-01
westfield,Union,NJ,34039,2018-11-01
conifer,Jefferson,CO,08059,2018-11-01
long island city,Queens,NY,36081,2018-11-01
washington,District of Columbia,DC,11001,2018-11-01
montclair,Essex,NJ,34013,2018-12-01
north bergen,Hudson,NJ,34017,2018-12-01
stuart,Martin,FL,12085,2018-12-01
westwego,Jefferson Parish,LA,22051,2018-12-01
brooklyn,Kings,NY,36047,2018-12-01
accord,Ulster,NY,36111,2018-12-01
middleton,Dane,WI,55025,2018-12-01
madison,Dane,WI,55025,2018-12-01
charlotte,Mecklenburg,NC,37119,2018-12-01
lakewood,Cuyahoga,OH,39035,2018-12-01
los angeles,Los Angeles,CA,06037,2018-12-01
arlington,Middlesex,MA,25017,2018-12-01
east longmeadow,Hampden,MA,25013,2018-12-01
grand rapids,Kent,MI,26081,2018-12-01
chicago,Cook,IL,17031,2018-12-01
scottsdale,Maricopa,AZ,04013,2018-12-01
agawam,Hampden,MA,25013,2018-12-01
amherst,Hampshire,MA,25015,2018-12-01
needham,Norfolk,MA,25021,2018-12-01
kingston,Luzerne,PA,42079,2018-12-01
reading,Middlesex,MA,25017,2018-12-01
phoenix,Maricopa,AZ,04013,2018-12-01
boca raton,Palm Beach,FL,12099,2018-12-01
westport,Fairfield,CT,09001,2018-12-01
philadelphia,Philadelphia,PA,42101,2018-12-01
millburn,Essex,NJ,34013,2018-12-01
summit,Union,NJ,34039,2018-12-01
ridgewood,Bergen,NJ,34003,2018-12-01
hillsdale,Bergen,NJ,34003,2018-12-01
redlands,San Bernardino,CA,06071,2018-12-01
brookline,Norfolk,MA,25021,2018-12-01
dallas,Dallas,TX,48113,2018-12-01
prairie du chien,Crawford,WI,55023,2018-12-01
marriottsville,Carroll,MD,24013,2018-12-01
houston,Harris,TX,48201,2018-12-01
manassas,Manassas city,VA,51683,2018-12-01
tuscumbia,Colbert,AL,01033,2018-12-04
baraboo,Sauk,WI,55111,2018-12-18
irvine,Orange,CA,06059,2019-01-01
denver,Denver,CO,08031,2019-01-01
atlanta,Fulton,GA,13121,2019-01-01
zionsville,Boone,IN,18011,2019-01-01
bettendorf,Scott,IA,19163,2019-01-01
ellicott city,Howard,MD,24027,2019-01-01
waltham,Middlesex,MA,25017,2019-01-01
newton,Middlesex,MA,25017,2019-01-01
minnetonka,Hennepin,MN,27053,2019-01-01
eagan,Dakota,MN,27037,2019-01-01
philadelphia,Philadelphia,PA,42101,2019-01-01
providence,Providence,RI,44007,2019-01-01
salt lake city,Salt Lake,UT,49035,2019-01-01
bloomington,Monroe,IN,18105,2019-01-01
rockville,Montgomery,MD,24031,2019-01-01
arnold,Anne Arundel,MD,24003,2019-01-01
brockton,Plymouth,MA,25023,2019-01-01
beverly,Essex,MA,25009,2019-01-01
summit,Union,NJ,34039,2019-01-01
brooklyn,Kings,NY,36047,2019-01-01
san antonio,Bexar,TX,48029,2019-01-01
austin,Travis,TX,48453,2019-01-01
hinesburg,Chittenden,VT,50007,2019-01-01
fall city,King,WA,53033,2019-01-01
hamilton (mercer county),Mercer,NJ,34021,2019-01-01
north caldwell,Essex,NJ,34013,2019-01-01
hillsdale,Bergen,NJ,34003,2019-01-01
old bridge,Middlesex,NJ,34023,2019-01-01
verona,Essex,NJ,34013,2019-01-01
mesa,Maricopa,AZ,04013,2019-01-29
alpharetta,Fulton,GA,13121,2019-02-01
chicago,Cook,IL,17031,2019-02-01
bettendorf,Scott,IA,19163,2019-02-01
plymouth,Hennepin,MN,27053,2019-02-01
cranford,Union,NJ,34039,2019-02-01
cincinnati,Hamilton,OH,39061,2019-02-01
lake oswego,Clackamas,OR,41005,2019-02-01
glen mills,Delaware,PA,42045,2019-02-01
ooltewah,Hamilton,TN,47065,2019-02-01
san antonio,Bexar,TX,48029,2019-02-01
austin,Travis,TX,48453,2019-02-01
kentfield,Marin,CA,06041,2019-02-01
cromwell,Middlesex,CT,09007,2019-02-01
salisbury,Litchfield,CT,09005,2019-02-01
roswell,Fulton,GA,13121,2019-02-01
milton,Fulton,GA,13121,2019-02-01
georgetown,Essex,MA,25009,2019-02-01
wanaque,Passaic,NJ,34031,2019-02-01
rego park,Queens,NY,36081,2019-02-01
falls church,Falls Church city,VA,51610,2019-02-01
charleston,Berkeley,SC,45015,2019-02-01
south orange village,Essex,NJ,34013,2019-02-01
pequannock,Morris,NJ,34027,2019-02-01
evesham,Burlington,NJ,34005,2019-02-01
mountain brook,Jefferson,AL,01073,2019-03-01
san diego,San Diego,CA,06073,2019-03-01
wildomar,Riverside,CA,06065,2019-03-01
la quinta,Riverside,CA,06065,2019-03-01
calabasas,Los Angeles,CA,06037,2019-03-01
woodland hills,Los Angeles,CA,06037,2019-03-01
tarzana,Los Angeles,CA,06037,2019-03-01
centennial,Arapahoe,CO,08005,2019-03-01
cromwell,Middlesex,CT,09007,2019-03-01
hamden,New Haven,CT,09009,2019-03-01
gainesville,Alachua,FL,12001,2019-03-01
chicago,Cook,IL,17031,2019-03-01
orland park,Cook,IL,17031,2019-03-01
lafayette,Lafayette Parish,LA,22055,2019-03-01
silver spring,Montgomery,MD,24031,2019-03-01
swampscott,Essex,MA,25009,2019-03-01
levittown,Nassau,NY,36059,2019-03-01
philadelphia,Philadelphia,PA,42101,2019-03-01
bryn mawr,Delaware,PA,42045,2019-03-01
germantown,Shelby,TN,47157,2019-03-01
washington,District of Columbia,DC,11001,2019-03-01
waukesha,Waukesha,WI,55133,2019-03-01
sherman oaks,Los Angeles,CA,06037,2019-03-01
fairfield,Solano,CA,06095,2019-03-01
normal,McLean,IL,17113,2019-03-01
bethesda,Montgomery,MD,24031,2019-03-01
montvale,Bergen,NJ,34003,2019-03-01
sussex,Sussex,NJ,34037,2019-03-01
englewood,Bergen,NJ,34003,2019-03-01
new rochelle,Westchester,NY,36119,2019-03-01
durham,Durham,NC,37063,2019-03-01
great neck,Nassau,NY,36059,2019-03-01
los angeles,Los Angeles,CA,06037,2019-03-01
holmdel,Monmouth,NJ,34025,2019-03-01
medford,Burlington,NJ,34005,2019-03-01
van nuys,Los Angeles,CA,06037,2019-03-01
newport beach,Orange,CA,06059,2019-03-10
gilbert,Maricopa,AZ,04013,2019-03-11
woodland hills,Los Angeles,CA,06037,2019-04-01
garden grove,Orange,CA,06059,2019-04-01
winter park,Orange,FL,12095,2019-04-01
gwinnett county,Gwinnett,GA,13135,2019-04-01
marietta,Cobb,GA,13067,2019-04-01
hawthorn woods,Lake,IL,17097,2019-04-01
new orleans,Orleans Parish,LA,22071,2019-04-01
highland park,Middlesex,NJ,34023,2019-04-01
summit,Union,NJ,34039,2019-04-01
erdenheim,Montgomery,PA,42091,2019-04-01
greenville,Greenville,SC,45045,2019-04-01
waukesha,Waukesha,WI,55133,2019-04-01
los angeles,Los Angeles,CA,06037,2019-04-01
denver,Denver,CO,08031,2019-04-01
westwood,Norfolk,MA,25021,2019-04-01
missoula,Missoula,MT,30063,2019-04-01
wanaque,Passaic,NJ,34031,2019-04-01
new paltz,Ulster,NY,36111,2019-04-01
norman,Cleveland,OK,40027,2019-04-01
annandale,Fairfax,VA,51059,2019-04-01
houston,Harris,TX,48201,2019-04-01
ridgefield park,Bergen,NJ,34003,2019-04-01
jefferson,Morris,NJ,34027,2019-04-01
new rochelle,Westchester,NY,36119,2019-04-01
tenafly,Bergen,NJ,34003,2019-04-01
westampton,Burlington,NJ,34005,2019-04-01
southington,Hartford,CT,09003,2019-04-01
livingston,Essex,NJ,34013,2019-04-01
marina del ray,Los Angeles,CA,06037,2019-04-01
north hollywood,Los Angeles,CA,06037,2019-04-01
yorba linda,Orange,CA,06059,2019-05-01
sacramento,Sacramento,CA,06067,2019-05-01
laguna beach,Orange,CA,06059,2019-05-01
brooksville,Hernando,FL,12053,2019-05-01
weston,Broward,FL,12011,2019-05-01
sharon,Norfolk,MA,25021,2019-05-01
brookline,Norfolk,MA,25021,2019-05-01
easton,Bristol,MA,25005,2019-05-01
wellesley,Norfolk,MA,25021,2019-05-01
newburyport,Essex,MA,25009,2019-05-01
wayzata,Hennepin,MN,27053,2019-05-01
las vegas,Clark,NV,32003,2019-05-01
cranford,Union,NJ,34039,2019-05-01
westfield,Union,NJ,34039,2019-05-01
new rochelle,Westchester,NY,36119,2019-05-01
peru,Clinton,NY,36019,2019-05-01
portland,Multnomah,OR,41051,2019-05-01
newtown,Bucks,PA,42017,2019-05-01
redmond,King,WA,53033,2019-05-01
prairie du chien,Crawford,WI,55023,2019-05-01
los osos,San Luis Obispo,CA,06079,2019-05-01
denver,Denver,CO,08031,2019-05-01
kensington,Montgomery,MD,24031,2019-05-01
framingham,Middlesex,MA,25017,2019-05-01
westwood,Norfolk,MA,25021,2019-05-01
weston,Middlesex,MA,25017,2019-05-01
watertown,Middlesex,MA,25017,2019-05-01
newton,Middlesex,MA,25017,2019-05-01
melrose,Middlesex,MA,25017,2019-05-01
foxborough,Norfolk,MA,25021,2019-05-01
summit,Union,NJ,34039,2019-05-01
aberdeen,Monmouth,NJ,34025,2019-05-01
emerson,Bergen,NJ,34003,2019-05-01
glen rock,Bergen,NJ,34003,2019-05-01
new york,New York,NY,36061,2019-05-01
chappaqua,Westchester,NY,36119,2019-05-01
seaford,Nassau,NY,36059,2019-05-01
pittsford,Monroe,NY,36055,2019-05-01
richmond,Chesterfield,VA,51041,2019-05-01
seattle,King,WA,53033,2019-05-01
san marcos,San Diego,CA,06073,2019-05-01
mount washington,Bullitt,KY,21029,2019-05-01
cherry hill,Camden,NJ,34007,2019-05-01
tinton falls,Monmouth,NJ,34025,2019-05-01
holiday,Pasco,FL,12101,2019-05-01
hazlet,Monmouth,NJ,34025,2019-05-01
los angeles,Los Angeles,CA,06037,2019-05-01
hillsdale,Bergen,NJ,34003,2019-05-01
wallingford,New Haven,CT,09009,2019-06-01
warren,Macomb,MI,26099,2019-06-01
birmingham,Oakland,MI,26125,2019-06-01
staten island,Richmond,NY,36085,2019-06-01
forest hills,Queens,NY,36081,2019-06-01
brooklyn,Kings,NY,36047,2019-06-01
lake forest,Orange,CA,06059,2019-06-01
chicago,Cook,IL,17031,2019-06-01
reading,Middlesex,MA,25017,2019-06-01
wellesley,Norfolk,MA,25021,2019-06-01
glen rock,Bergen,NJ,34003,2019-06-01
new york,New York,NY,36061,2019-06-01
bronx,Bronx,NY,36005,2019-06-01
seaford,Nassau,NY,36059,2019-06-01
margaretville,Delaware,NY,36025,2019-06-01
teaneck,Bergen,NJ,34003,2019-06-01
westfield,Union,NJ,34039,2019-06-01
los angeles,Los Angeles,CA,06037,2019-06-01
lakewood,Ocean,NJ,34029,2019-06-01
randolph,Morris,NJ,34027,2019-06-01
aberdeen,Monmouth,NJ,34025,2019-06-01
cranford,Union,NJ,34039,2019-06-01
boca raton,Palm Beach,FL,12099,2019-07-01
colorado springs,El Paso,CO,08041,2019-07-01
wilmette,Cook,IL,17031,2019-07-01
claremont,Sullivan,NH,33019,2019-07-06
novato,Marin,CA,06041,2019-08-01
grayslake,Lake,IL,17097,2019-08-01
eastham,Barnstable,MA,25001,2019-08-01
madison,Dane,WI,55025,2019-08-01
agoura hills,Los Angeles,CA,06037,2019-08-01
minneapolis,Hennepin,MN,27053,2019-08-01
tewksbury,Hunterdon,NJ,34019,2019-08-01
tustin,Orange,CA,06059,2019-09-01
irvine,Orange,CA,06059,2019-09-01
greenwood village,Arapahoe,CO,08005,2019-09-01
conifer,Jefferson,CO,08059,2019-09-01
denver,Denver,CO,08031,2019-09-01
medfield,Norfolk,MA,25021,2019-09-01
charlotte,Mecklenburg,NC,37119,2019-09-01
burlingame,San Mateo,CA,06081,2019-09-01
north hollywood,Los Angeles,CA,06037,2019-09-01
oak park,Ventura,CA,06111,2019-09-01
hamden,New Haven,CT,09009,2019-09-01
westport,Fairfield,CT,09001,2019-09-01
darien,Fairfield,CT,09001,2019-09-01
needham,Norfolk,MA,25021,2019-09-01
wellesley,Norfolk,MA,25021,2019-09-01
norwell,Plymouth,MA,25023,2019-09-01
glen rock,Bergen,NJ,34003,2019-09-01
fair lawn,Bergen,NJ,34003,2019-09-01
albuquerque,Bernalillo,NM,35001,2019-09-01
scarsdale,Westchester,NY,36119,2019-09-01
seaford,Nassau,NY,36059,2019-09-01
portland,Multnomah,OR,41051,2019-09-01
milton,Rock,WI,55105,2019-09-01
old bridge,Middlesex,NJ,34023,2019-09-01
cherry hill,Camden,NJ,34007,2019-09-01
verona,Essex,NJ,34013,2019-09-01
aberdeen,Monmouth,NJ,34025,2019-09-01
chatham,Morris,NJ,34027,2019-09-01
voorhees,Camden,NJ,34007,2019-09-01
davie,Broward,FL,12011,2019-09-01
woodmere,Nassau,NY,36059,2019-09-01
new canaan,Fairfield,CT,09001,2019-09-01
maplewood,Ramsey,MN,27123,2019-09-01
spring valley,Rockland,NY,36087,2019-09-01
tucson,Pima,AZ,04019,2019-09-01
glen ridge,Essex,NJ,34013,2019-09-01
westampton,Burlington,NJ,34005,2019-09-01
piedmont,Alameda,CA,06001,2019-10-01
santa ana,Orange,CA,06059,2019-10-01
yorba linda,Orange,CA,06059,2019-10-01
los angeles,Los Angeles,CA,06037,2019-10-01
denver,Denver,CO,08031,2019-10-01
guilford,New Haven,CT,09009,2019-10-01
grand rapids,Kent,MI,26081,2019-10-01
driggs,Teton,ID,16081,2019-10-01
boston,Suffolk,MA,25025,2019-10-01
framingham,Middlesex,MA,25017,2019-10-01
kaysville,Davis,UT,49011,2019-10-01
woodland,Yolo,CA,06113,2019-10-01
darien,Fairfield,CT,09001,2019-10-01
wilmette,Cook,IL,17031,2019-10-01
cambridge,Middlesex,MA,25017,2019-10-01
arlington,Middlesex,MA,25017,2019-10-01
newton,Middlesex,MA,25017,2019-10-01
wellesley,Norfolk,MA,25021,2019-10-01
westfield,Union,NJ,34039,2019-10-01
ridgewood,Bergen,NJ,34003,2019-10-01
voorhees,Camden,NJ,34007,2019-10-01
pelham,Westchester,NY,36119,2019-10-01
bronx,Bronx,NY,36005,2019-10-01
brooklyn,Kings,NY,36047,2019-10-01
pleasantville,Westchester,NY,36119,2019-10-01
ravena,Albany,NY,36001,2019-10-01
doylestown,Bucks,PA,42017,2019-10-01
irvine,Orange,CA,06059,2019-10-01
athens,Clarke,GA,13059,2019-10-01
santa clarita,Los Angeles,CA,06037,2019-10-01
beaverton,Washington,OR,41067,2019-10-01
carlsbad,San Diego,CA,06073,2019-10-01
wynnewood,Montgomery,PA,42091,2019-10-01
alexandria,Alexandria city,VA,51510,2019-10-01
norwalk,Fairfield,CT,09001,2019-10-01
great barrington,Berkshire,MA,25003,2019-10-01
emmaus,Lehigh,PA,42077,2019-10-01
mountainside,Union,NJ,34039,2019-10-01
blairstown,Warren,NJ,34041,2019-10-01
alexandria,Hunterdon,NJ,34019,2019-10-01
fair lawn,Bergen,NJ,34003,2019-10-01
rahway,Union,NJ,34039,2019-10-01
san francisco,San Francisco,CA,06075,2019-10-01
hanover,Morris,NJ,34027,2019-10-01
hyattsville,Prince George's,MD,24033,2019-10-01
wyckoff,Bergen,NJ,34003,2019-10-01
mount olive,Morris,NJ,34027,2019-10-01
ossining,Westchester,NY,36119,2019-10-01
winter park,Orange,FL,12095,2019-10-01
austin,Travis,TX,48453,2019-10-01
los angeles,Los Angeles,CA,06037,2019-11-01
darien,Fairfield,CT,09001,2019-11-01
montclair,Essex,NJ,34013,2019-11-01
englewood,Arapahoe,CO,08005,2019-11-01
glastonbury,Hartford,CT,09003,2019-11-01
yorba linda,Orange,CA,06059,2019-11-01
pine valley,San Diego,CA,06073,2019-11-01
lafayette,Lafayette Parish,LA,22055,2019-11-01
bethesda,Montgomery,MD,24031,2019-11-01
kensington,Montgomery,MD,24031,2019-11-01
quincy,Norfolk,MA,25021,2019-11-01
new rochelle,Westchester,NY,36119,2019-11-01
midland park,Bergen,NJ,34003,2019-11-01
milwaukee,Milwaukee,WI,55079,2019-11-01
edison,Middlesex,NJ,34023,2019-11-01
plumsted,Ocean,NJ,34029,2019-11-01
minnetonka,Hennepin,MN,27053,2019-11-01
saint paul,Dakota,MN,27037,2019-11-01
fair lawn,Bergen,NJ,34003,2019-11-01
cranford,Union,NJ,34039,2019-11-01
northridge,Los Angeles,CA,06037,2019-11-01
west hollywood,Los Angeles,CA,06037,2019-11-01
bayside,Milwaukee,WI,55079,2019-11-01
roxbury,Morris,NJ,34027,2019-11-01
jefferson,Morris,NJ,34027,2019-11-01
summit,Union,NJ,34039,2019-11-01
brooklyn,Kings,NY,36047,2019-11-01
san diego,San Diego,CA,06073,2019-11-01
wanaque,Passaic,NJ,34031,2019-11-01
philadelphia,Philadelphia,PA,42101,2019-11-01
boca raton,Palm Beach,FL,12099,2019-12-01
plainfield,Will,IL,17197,2019-12-01
san francisco,San Francisco,CA,06075,2019-12-01
marysville,Union,OH,39159,2019-12-01
santa ynez,Santa Barbara,CA,06083,2019-12-01
garden grove,Orange,CA,06059,2019-12-01
los angeles,Los Angeles,CA,06037,2019-12-01
palm beach gardens,Palm Beach,FL,12099,2019-12-01
manchester,Bennington,VT,50003,2019-12-01
upper saddle river,Bergen,NJ,34003,2019-12-01
new rochelle,Westchester,NY,36119,2019-12-01
montclair,Essex,NJ,34013,2019-12-01
brooklyn,Kings,NY,36047,2019-12-01
jacksonville,Duval,FL,12031,2019-12-01
san diego,San Diego,CA,06073,2019-12-01
wilbraham,Hampden,MA,25013,2019-12-01
charleston,Berkeley,SC,45015,2019-12-01
hazlet,Monmouth,NJ,34025,2019-12-01
winchester,Middlesex,MA,25017,2019-12-01
lakewood,Ocean,NJ,34029,2019-12-01
new york,New York,NY,36061,2019-12-01
needham,Norfolk,MA,25021,2019-12-01
irvine,Orange,CA,06059,2019-12-01
oakland,Bergen,NJ,34003,2019-12-01
voorhees,Camden,NJ,34007,2019-12-01
minnetonka,Hennepin,MN,27053,2019-12-01
lake zurich,Lake,IL,17097,2019-12-01
north merrick,Nassau,NY,36059,2019-12-01
